question_topic,mean_rating,condition,chain,generation,question,story_topic,story_reproduction
author_belief,71.94444444444444,strong evidence,7klPub4fVaS25llR,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,An animal trafficker was stopped in indonesia carrying very expensive birds. They would have to pay fines of up to 1000 if convicted.
author_belief,71.88888888888889,strong evidence,7klPub4fVaS25llR,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,An animal trafficker in Indonesia was caught trafficking very expensive birds. They would have to pay a fine of up to $1000 if convicted.
author_belief,68.6923076923077,strong evidence,7klPub4fVaS25llR,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"There was an Indonesian animal trafficker who trafficked rare birds. If he was convicted, the birds would have to pay a 1000 fine."
author_belief,93.77777777777777,strong evidence,9E4pUgvvl3tImOlQ,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"Since mid-April 2018, a region of Bulgaria, Germany has experienced acts of vandalism perpetrated by one or more people. The perpetrators have set a car, trashcans, and even a town house on fire. At its peak, there were 8 acts of arson in one night. The total cost of the damages is around $450,000. However, until police offered a reward of $6000 for every tip, they were not able to find the perpetrator(s). Recently, a crumpled black shirt at one of the scenes with a distinct pattern on it help identify the perpetrator. About a week ago, police arrested him, and based on all the evidence, there is very little doubt that he is guilty."
author_belief,82.6470588235294,strong evidence,9E4pUgvvl3tImOlQ,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"Since mid-April 2018, a region of Bulgaria, Germany has faced several acts of vandalism on the part of one or more perpetrators. Those responsible for the crimes have set a car, trashcans, and even a townhouse on fire. At the peak of the incidents, there were 8 counts of arson in one night. Damages to this point amount to $450,000, but until police began offering a $6,000 reward for reliable tips, they were unable to catch the criminal. Recently, a crumpled black shirt with a distinctive pattern found at one crime scene has led police to arrest the alleged perpetrator. At this point there is overwhelming evidence against him, and it is very likely that the suspect in custody is guilty."
author_belief,83.44444444444444,strong evidence,9E4pUgvvl3tImOlQ,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"In a region in Bulgaria, Germany since mid April 2018, several perpetrators have committed several acts of vandalism. They have done such things as burn cars, trash cans, etc. At the peak of their crimes, there have been 8 arsons in a single night. In total their crimes have amounted to more than $450 thousand in damages. Police have been unable to get any of the perpetrators until they began offering a $6,000 reward. Soon after, a distinctive crumpled black shirt was found at one of the crime scenes, at which point the police were able to pinpoint the perpetrator. The evidence stacked against this individual indicates that they are very likely guilty."
author_belief,59.94444444444444,strong evidence,9E4pUgvvl3tImOlQ,4,How much does the author believe that the suspect  is guilty?,arson,"In Bulgaria, there have been extreme acts of vandalism since April 2018. The peak of this chaos was 8 arson attacks that resulted in $450,000 worth of damage. After offering $6,000 in rewards, more people started to help find the criminals. The police had no clues to help them find the perpetuators until a black shirt was found at one of the crime scenes. This evidence can hopefully be traced back to the perpetuator."
author_belief,67.52941176470588,strong evidence,9E4pUgvvl3tImOlQ,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"In Bulgaria, there were extreme acts of vandalism. These acts of vandalism cost up to $450,000 dollars in damage. The vandalizers were not caught until $6,000 rewards were offered for their capture. Eventually, a black shirt found at the crime scene served as evidence to find the guilty."
author_belief,86.26315789473684,strong evidence,9OCpD8EORQk0APJl,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In late December 2017, a couple in Iowa went to check on their beehives.  They found a tragic scene:  their hives had been overturned and their equipment and facilities had been ransacked.  A few weeks later, the police arrested a 12-y.o. and 13-y.o. for the crime.  They are charged with multiple offenses, with fines up to $100,000 and up to 10 years in prison, yet will be tried as minors.  The trial hasn't happened yet, but they seem guilty."
author_belief,72.1875,strong evidence,9OCpD8EORQk0APJl,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In late December 2017, a couple in Iowa went to check on their beehives and were surprised to see that the hives were overturned and their equipment was ransacked. A 12 year old and a 13 year old were arrested and if found guilty, they will have to serve 10 years in jail. They seem to be guilty."
author_belief,44.53333333333333,strong evidence,9OCpD8EORQk0APJl,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In late December 2017, a couple found a beehive was destroyed. However, a 12 year old and a 13 year old were arrested, and if they were found guilty, they would serve 10 years in prison."
author_belief,61.111111111111114,strong evidence,9OCpD8EORQk0APJl,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"A 12 and 13 year old suspected of destruction of a beehive were arrested. If found guilty, they face 10 years in jail."
author_belief,61.18181818181818,strong evidence,9OCpD8EORQk0APJl,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"A 12 and 13 year old were arrested for destroying a beehive, and face up to 10 years of jail time."
author_belief,79.57894736842105,strong evidence,a7T0kUApOtWSgThu,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Thanks to a routine cargo check, the Indonesian police were able to prevent a smuggling attempt. They found 150 exotic birds stuffed into drain pipes. These animals were meant to be smuggled into the US where they would be sold as pets. The police arrested the four men and they face up to 5 years in prison"
author_belief,78.84210526315789,strong evidence,a7T0kUApOtWSgThu,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Thanks to a routine cargo check, Indonesian police found exotic birds. The 150 exotic birds were found in drain pipes. They were supposed to be shipped off to the United States to be sold as pets. The police arrested four men, and they could face up to 5 years in prison."
author_belief,66.21052631578948,strong evidence,a7T0kUApOtWSgThu,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Thanks to a routine cargo check, the Indonesian police found 150 birds. These birds were hidden in drain pipes, and they were intended to be brought to America to be sold as pets. The police arrested four men, who could each face up to five years in prison."
author_belief,86.35714285714286,strong evidence,a7T0kUApOtWSgThu,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"There were 150 smuggled birds that were found by police, and they arrested 4 individuals who were the ones trying to bring them to America."
author_belief,67.55555555555556,strong evidence,a7T0kUApOtWSgThu,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,4 individuals were arrested for smuggling 150 birds to America.
author_belief,71.29411764705883,strong evidence,AL8EPVXO8ElXsE0S,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,"Jim Smith, a professor of Neuroscience at Corsen University is being charged with sexual harrassment. 11 women, all former graduate students, have come forward with allegations about him. These allegations include forced meetings at private homes, comments on female appearance, and hot tub parties which contain nudity. An investigation is based on the testimony of 100 colleges and acquaintances which relies on a history of inappropriate relationships with students. If found guilt, Prof Smith will be suspended indefinitely or perhaps fired."
author_belief,61.294117647058826,strong evidence,AL8EPVXO8ElXsE0S,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,"Jim Smith, a professor of Neuroscience at Corsen University, is being tried for sexual harassment.  11 women, all former graduate students, have come forward with allegations.  These allegations vary from private meetings at home to house parties with nudity to comments on female appearance.  100 colleges will offer evidence for the case.  If found guilty, Smith risks losing his job and other things."
author_belief,63.125,strong evidence,AL8EPVXO8ElXsE0S,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,A man with the last name Smith is a professor of Neuroscience at a university and 11 females have come forward with stories of sexual assault. There stories vary from private meetings and stories at parties.
author_belief,56.06666666666667,strong evidence,AL8EPVXO8ElXsE0S,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,"Several women who are students of a neuroscience professor named Smith at a university have come forward with allegations of sexual assault, and say that these assaults took place during private meetings and parties."
author_belief,62,strong evidence,AL8EPVXO8ElXsE0S,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,Several women who were students of a neuroscience professor at an university have come forward with allegations of sexual assault. They say the assaults took place during parties and private meetings.
author_belief,64.13333333333334,strong evidence,bfBumMzT7a0VNbCQ,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,"A professor called Smith has been accussed of sexual harrassment by many people. The allegations include patterns of predatory behaviour on Smith's behalf, including forcing private meetings and hot tub parties with students, as well as quid pro quo sexual relations with grad students. If Smith is found guilty of these charges then he may be suspended or even fired, which is rare for a tenured professor."
author_belief,79.9375,strong evidence,bfBumMzT7a0VNbCQ,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,Professor smith has serious sexual harassment allegations against him. He has been in hot tubs with younger students and partaken in lude activities from grad students. Should he be convicted it will be a rarity for a tenured professor.
author_belief,63.1764705882353,strong evidence,bfBumMzT7a0VNbCQ,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,"Professor smith has been accused of sexual harassment, as he's been witnessed with younger students and grad students."
author_belief,49.46666666666667,strong evidence,bfBumMzT7a0VNbCQ,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,Professor Smith has been accused of sexual harassment based on evidence that people have witnessed him (sexually?) with younger students.
author_belief,56.77777777777778,strong evidence,bfBumMzT7a0VNbCQ,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",professor,Professor Smith has been accused of sexual harassment by people who have allegedly caught him in the act.
author_belief,57.15384615384615,strong evidence,GJbxXZWYp0ym0tTM,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In December, a couple discovered their beehives to be destroyed. The police have identified two suspects who have been charged of burglary and destruction of property. They are minors and therefore can be charged up to $10000."
author_belief,74.57142857142857,strong evidence,GJbxXZWYp0ym0tTM,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In December, two people discovered their beehives destroyed. The suspects were found by the police and were charged with destruction of property and breaking and entering. Since they are minors, they will be charged with a fine of $10,000."
author_belief,60.23076923076923,strong evidence,GJbxXZWYp0ym0tTM,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In December, two people found their beehives destroyed. The alleged suspects were minors and were charged with destruction of property."
author_belief,78.8125,strong evidence,GJbxXZWYp0ym0tTM,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In December, two people found their beehives destroyed. The suspects were minors and were charged with destruction of property."
author_belief,72.57142857142857,strong evidence,GJbxXZWYp0ym0tTM,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"Two individuals had their beehives destroyed, and the suspects are minors."
author_belief,73.9375,strong evidence,HuNoEaqPVE4NT9sZ,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"In late December of 2017, a couple in Iowa discovered that their 50 beehives had been hacked apart and smashed, and equipment in their shed vandalized and thrown out. The incident caused the death of over half a million bees and around $60,000 in damages. Police recently arrested two boys, aged 12 and 13 years old, who are allegedly responsible for the crime. Because they are minors, they face a fine of up to $10,000 each and up to 10 years in juvenile detention. No charges have been officially pressed yet, but evidence points to them being responsible for the crime."
author_belief,80.23529411764706,strong evidence,HuNoEaqPVE4NT9sZ,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"Late last year, there was a couple whose beehives were destroyed and garage was vandalized. Over half a million of the bees were killed. Two young teenage boys were arrested in connection to this crime, as evidence points heavily towards them, but they have not yet been formally charged with the crime."
author_belief,55.27777777777778,strong evidence,HuNoEaqPVE4NT9sZ,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,"Late last year, a couple's garage and beehives were vandalized.  Over half a million bees died.  Two teenage boys have been arrested in conjunction with the crime, but they haven't been charged yet."
author_belief,58.25,strong evidence,HuNoEaqPVE4NT9sZ,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,Two teenage boys have been arrested under suspicion of vandalizing a couple's beehive. This action caused the death of millions of bees. These boys have not yet been charged with the crime.
author_belief,73.61538461538461,strong evidence,HuNoEaqPVE4NT9sZ,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",bees,Two teenage boys were arrested for vandalising a couple's beehive. The damage resulted in the death of millions of bees.
author_belief,82.73333333333333,strong evidence,Jgw75Lq3wVFrLonM,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"Some Internet users in Spain were notified that they were infringing laws by distributing pornographic content, demanding payment. However, these notifications were all part of a scam and later revealed as such. When the police investigated this issue, they were able to track down two individuals who had been at an Internet cafe. Footage of the two is deemed to be reliable."
author_belief,81,strong evidence,Jgw75Lq3wVFrLonM,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,Some Internet users in Spain got notified saying they were breaking the law by distributing pornographic content and demanded payment. This was a scam and police tracked down two individuals at an internet cafe. There is footage that is reliable.
author_belief,83.58823529411765,strong evidence,Jgw75Lq3wVFrLonM,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,Some internet users in Spain got notified that they were breaking the law by distributing pornographic content and money was demanded from them. This was a scam and police tracked down two individuals at an internet cafe.  There is footage that is reliable.
author_belief,73.22222222222223,strong evidence,Jgw75Lq3wVFrLonM,4,How much does the author believe that the suspect  is guilty?,scam,"In Spain, there were internet users who received notifications from some source that they were breaking the law by distributing pornographic material. The source demanded money but this turned out to be a scam. Police tracked the scammers to an internet cafe and have reliable footage as evidence."
author_belief,84.23529411764706,strong evidence,Jgw75Lq3wVFrLonM,5,How much does the author believe that the suspect  is guilty?,scam,"In Spain, internet users received notifications that they were breaking the law by distributing pornographic material. These notifications turned out to be a scam for money. Police have located the scammers at an internet cafe and have reliable footage as evidence."
author_belief,53.05263157894737,strong evidence,JstyGemDou1LRtMq,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Thanks to a routine cargo check, the Indonesian police were able to prevent a smuggling attempt.  They found about 150 exotic birds stored in plastic drain pipes on a cargo ship.  They suspect that the birds were intended to be sold in the US as pets, and are valued at ~$10,000 dollars.  Four men have been arrested, and face up to eight years in prison.  So far, the case has rested primarily on eye-witness testimonies, which have been inconsistent."
author_belief,79.38888888888889,strong evidence,JstyGemDou1LRtMq,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,The police found that a truck was smuggling animals that were intended to be sold in the US as pets. The birds were estimated to be worth around $10000. Four people were arrested can be sentenced up to 8 years in prison.
author_belief,78.88888888888889,strong evidence,JstyGemDou1LRtMq,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Four people were arrested for smuggling a truck full of birds, intended to be sold as pets for $10000 in the US. They face up to 8 years in prison."
author_belief,70,strong evidence,JstyGemDou1LRtMq,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"There were four perpetrators arrested for illegally smuggling a truck full of birds to be sold in the US as pets. The birds were meant to be sold for $10,000 each. The perpetrators each face up to 8 years in prison."
author_belief,56.72222222222222,strong evidence,JstyGemDou1LRtMq,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"There were a group of perpetrators illegally arrested for smuggling birds worth $10,000. Each perpetrator faces up to ten years in prison."
author_belief,71.5,strong evidence,k7ifG1tVVLsAe9oc,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Police in Indonesia, when carrying out a routine cargo check, found several exotic birds stuffed into drain pipes that were closed at each end. They suspected a group of wildlife traffickers. The testimony of the suspects is inconsistent, and several people's testimony indicates their guilt. They face a fine of $8000 and several years in prison."
author_belief,75.38888888888889,strong evidence,k7ifG1tVVLsAe9oc,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Police in Indonesia carrying out a routine cargo check found several exotic birds stuffed into drain pipes that were closed off at both ends. The police suspected wildlife traffickers and arrested suspects, who had inconsistent testimonies that indicated their guilt. If charged, they face a fine of $8000 and up to 9 years in prison."
author_belief,73.63157894736842,strong evidence,k7ifG1tVVLsAe9oc,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Police in Indonesia when doing a usual cargo check found exotic birds stuffed into pipes that were closed on both ends. Wildlife traffickers are suspected of this crime, because their inconsistent testimonies. If charged, they'll face 9 years in prison and many, many dollars in fines."
author_belief,73.66666666666667,strong evidence,k7ifG1tVVLsAe9oc,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"Police in Indonesia while doing routine checks found exotic birds stuffed into pipes that were closed at both ends.  Wildlife traffickers are suspected of this crime.  There isn't enough evidence yet, but if caught, they will face up to 9 years in prison and high fines."
author_belief,75.52941176470588,strong evidence,k7ifG1tVVLsAe9oc,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",smuggler,"In Indonesia, the maximum penalty for stuffing exotic birds into pipes is heavy fines and 9 years in prison. When an incidence of such a crime occurred, the police suspected that wildlife traffickers were responsible for the crime."
author_belief,80.23529411764706,strong evidence,KxzDREQps7SE6zTu,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"There were some fires set in Bavaria, Germany. The local police were having trouble figuring out who caused the fires until they set up a $6000 reward for tips. The police then found a black shirt that led them to arrest the guilty individual. It is unclear whether they found the shirt because of the monetary reward or not."
author_belief,49.125,strong evidence,KxzDREQps7SE6zTu,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"Some fires, possibly arson, were set in Bavaria, Germany. Police had trouble finding any leads on the possible culprit until they put out a $6,000 reward for any tips. Afterwards, police found a black shirt that led to them finding and arresting the potential perpetrator of the fires. It is unclear whether the monetary reward for tips was the cause of this new development."
author_belief,67.16666666666667,strong evidence,KxzDREQps7SE6zTu,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"There was a fire in Bavaria Germany. Police put out a monetary prize for any tips on the case. They ended up finding a black shirt that led to the culprit. But, they don't  know if the money helped them find the black shirt."
author_belief,58.05263157894737,strong evidence,KxzDREQps7SE6zTu,4,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"Following a man-made fire in Bavaria, Germany, a black shirt constituted sufficient evidence to lead the police to the arsonist guilty of causing it. However, it is unclear whether this finding was the result of the monetary prize that the police offered in exchange for evidence relating to the case."
author_belief,44.76470588235294,strong evidence,KxzDREQps7SE6zTu,5,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",arson,"After a man-made fire in Germany, a black shirt was enough evidence for the police to convict the arsonist. However, it is unclear whether this is a result of the police issuing a monetary reward for evidence regarding the case."
author_belief,71.21428571428571,strong evidence,neKlVvImJcUaYfbd,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"30,000 internet users in Spain received a scam email warning charges for distributing pornographic content if they didn't send $11,500 within a month. Already $17 mil have been collected from 5% of the recipients. The email address was linked to a law firm in Barcelona, which denied that they sent the email. The scammers (both 52)) were caught on video footage at an internet cafe."
author_belief,84.76470588235294,strong evidence,neKlVvImJcUaYfbd,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"30,000 internet users in Spain were sent a scam email threatening the distribution of pornographic content if they did not send $11,500 within a month. Seventeen million dollars have already been collected from 5% of the email's recipients. The perpetrators (both 52) were caught on video footage at an internet café."
author_belief,68.88235294117646,strong evidence,neKlVvImJcUaYfbd,3,How much does the author believe that the suspect  is guilty?,scam,"In Spain, 30 million people have been send emails threatening distribution of pornographic content if they did not pay $11,000. These emails were send from a location with footage. The senders have already collected 17 million dollars from 5% of the recipients."
author_belief,85.47368421052632,strong evidence,neKlVvImJcUaYfbd,4,How much does the author believe that the suspect  is guilty?,scam,"In Spain, 30 million people were sent malicious emails by a hacker group. The hackers threatened to fill the receivers computers with pornography if a ransom of $11,000 was not paid. The hackers have already received 17 million dollars, from just 5% of the victims."
author_belief,75.08333333333333,strong evidence,neKlVvImJcUaYfbd,5,How much does the author believe that the suspect  is guilty?,scam,"In Spain, 30 million people received emails from hackers who threatened to flood their computers with pornography unless a sum of $11,000 was paid. The hackers have earned a lot of money already despite only 5% of people sending money."
author_belief,86.11111111111111,strong evidence,OxeQFpfbyKzpIg69,1,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"On August 30, 2018, 30,000 internet users in Spain received an email with the subject line ""Copyright infringement––immediate response required."" The email accused users of having illegally distributed pornographic content, and instructed them to pay $11,500 by the end of September to avoid a lawsuit. Searching for the email address online leads to the website of a real law firm in Barcelona. However, the law firm has come forward and identified these emails as a hoax. According to police, 5% of the email's recipients have already paid the fine, which amounts to over $17 million having gone to the scammers. Police were able to trace the original location from which the spam email was sent, and found that it came from an internet cafe. Footage places two people, one man and one woman, at the scene. If caught, the scammers face 9 years in prison. Furthermore, it has been reported that the footage from the cafe is extremely high quality, so it is quite likely to serve as  unquestionable evidence against those charged."
author_belief,78.15,strong evidence,OxeQFpfbyKzpIg69,2,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"A scam occurred in which 2 people sent an email from a real Barcelona law firm address, asking recipients to pay $11500 for wrongfully distributing pornographic content. 5% of recipients paid, amounting in $17 million for the scammers. Police traced the email to a Internet cafe, and 2 people were caught on high-quality camera committing the scam. If police are able to find and identify these people, there is ample evidence to charge them with the crime (and put them in jail for 9 years)."
author_belief,83.23529411764706,strong evidence,OxeQFpfbyKzpIg69,3,"How much does the author believe that the suspect (i.e., the person/people underlined in the story) is guilty?",scam,"Two people sent a scam email from a valid Barcelona law firm's email address, demanding $115,000 for distribution of pornographic material. 5% of people paid, sending the scammers at total of 17 million dollars. The email was traced and the people were caught on high definition tape. If they are caught they face 9 years in jail.\n"
author_belief,85.5,strong evidence,OxeQFpfbyKzpIg69,4,How much does the author believe that the suspect  is guilty?,scam,"Scammers sent fake emails to people where 5% of people responded, leading to the scammers earning millions of dollars"
author_belief,82.94117647058823,strong evidence,OxeQFpfbyKzpIg69,5,How much does the author believe that the suspect  is guilty?,scam,"Scammers sent emails to a group of people, and 5% of those people participated in the emails' instructions, thus leading to the scammers obtaining millions of dollars."
