story_tokenized,tensor,story_id,story,token_id
",",1010,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",38
500,3156,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",39
was,2001,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",40
not,2025,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",41
paid,3825,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",42
out,2041,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",43
by,2011,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",44
the,1996,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",45
recipient,7799,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",46
.,1012,1,"on august 30, 2018, 30,000 people in spain received a fraud email that accused them of illegally distributing pornographic content and threatened to take legal action and sue if a fine of $11,500 was not paid out by the recipient. the email address of the sender was faked to appear to be that of a legitimate law firm in spain, who have publically claimed the email to be a hoax. as of reporting, over $17 million of ""fines"" were paid out by recipients of the fake email. recently, a man and a woman were caught and arrested for sending these fake emails off the basis of security camera footage of the two sending the emails in a cafe. however, there has been recent dispute and controversy over the usage of the camera footage as evidence, given that the quality of the footage is poor and it is not completely clear who the people in the recording are.",47
